predictor	predictor_type	name	fold	diff_empty	diff_medium_surprisal	diff_full_surprisal
70	surprisal + surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	5	surprisal	10	0.0225075992125774	0.00580569050177449	0.00123177738045754
71	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	surprisal	1	0.0356400646978985	0.0168252109214668	0.00015682404820172
72	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	surprisal	2	0.0445825237124104	0.0168408557042552	0.000761928538231871
73	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	surprisal	3	0.0353306452761535	0.0203872363773066	0.000549009713663118
74	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	surprisal	4	0.0410422683443477	0.0206860031888434	-0.000417467906407509
75	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	surprisal	5	0.0342969808089979	0.0221747978587254	0.000131965283097557
76	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	surprisal	6	0.0342220811139926	0.0175197751960274	0.000921850433733162
77	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	surprisal	7	0.0241541342322513	0.0124375440427515	-0.000399999804605145
78	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	surprisal	8	0.0294426563098895	0.0118785246316122	0.000176999750514995
79	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	surprisal	9	0.0231432652462402	0.0119619363724013	0.00124960038022515
80	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	surprisal	10	0.0225075992125774	0.00580569050177449	0.00123177738045754
81	surprisal + prev_surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	5	prev_surprisal	1	0.0356400646978985	0.0168252109214668	0.00015682404820172
82	surprisal + prev_surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	5	prev_surprisal	2	0.0445825237124104	0.0168408557042552	0.000761928538231871
83	surprisal + prev_surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	5	prev_surprisal	3	0.0353306452761535	0.0203872363773066	0.000549009713663118
84	surprisal + prev_surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	5	prev_surprisal	4	0.0410422683443477	0.0206860031888434	-0.000417467906407509
85	surprisal + prev_surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	5	prev_surprisal	5	0.0342969808089979	0.0221747978587254	0.000131965283097557
86	surprisal + prev_surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	5	prev_surprisal	6	0.0342220811139926	0.0175197751960274	0.000921850433733162
87	surprisal + prev_surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	5	prev_surprisal	7	0.0241541342322513	0.0124375440427515	-0.000399999804605145
88	surprisal + prev_surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	5	prev_surprisal	8	0.0294426563098895	0.0118785246316122	0.000176999750514995
89	surprisal + prev_surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	5	prev_surprisal	9	0.0231432652462402	0.0119619363724013	0.00124960038022515
90	surprisal + prev_surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	5	prev_surprisal	10	0.0225075992125774	0.00580569050177449	0.00123177738045754
91	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	prev_surprisal	1	0.0356400646978985	0.0168252109214668	0.00015682404820172
92	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	prev_surprisal	2	0.0445825237124104	0.0168408557042552	0.000761928538231871
93	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	prev_surprisal	3	0.0353306452761535	0.0203872363773066	0.000549009713663118
94	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	prev_surprisal	4	0.0410422683443477	0.0206860031888434	-0.000417467906407509
95	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	prev_surprisal	5	0.0342969808089979	0.0221747978587254	0.000131965283097557
96	surprisal + prev_surprisal + prev2_surprisal + prev3_surprisal	6	prev_surprisal	6	0.0342220811139926	0.0175197751960274	0.000921850433733162
